loan_id,segment,region,principal,interest_rate,tenor_months,fico,is_collateral,origination_month,default_flag
L000000,Retail,NE,35440.23,0.19,53,774,0,2022-04-01,0
L000001,Retail,MW,20857.85,0.117,37,673,0,2022-10-01,0
L000002,Retail,MW,11132.15,0.101,33,571,1,2024-05-01,0
L000003,Retail,W,10835.79,0.104,26,757,1,2024-06-01,0
L000004,Retail,S,26112.73,0.194,46,772,0,2022-10-01,0
L000005,Retail,W,31264.57,0.228,55,593,1,2024-03-01,0
L000006,Retail,MW,22726.15,0.056,31,653,0,2023-12-01,0
L000007,Retail,W,14627.41,0.069,48,782,1,2023-06-01,0
L000008,Retail,W,104614.0,0.137,57,736,0,2024-08-01,1
L000009,Retail,S,23518.63,0.208,57,685,0,2022-01-01,0
L000010,Retail,NE,13694.68,0.156,32,654,0,2023-08-01,0
L000011,SME,S,23384.83,0.171,47,618,1,2023-02-01,0
L000012,Corporate,S,12467.27,0.105,47,677,0,2022-11-01,0
L000013,Retail,MW,21926.84,0.168,25,664,1,2023-06-01,0
L000014,Retail,S,61522.56,0.054,37,666,1,2022-06-01,0
L000015,Retail,NE,27937.59,0.179,46,672,1,2024-09-01,0
L000016,SME,S,22443.06,0.151,47,794,0,2023-04-01,0
L000017,Retail,NE,20942.06,0.089,8,581,0,2023-08-01,0
L000018,Retail,MW,10559.41,0.188,11,805,1,2024-03-01,0
L000019,SME,MW,20689.13,0.057,32,789,1,2022-05-01,0
L000020,Retail,S,18914.3,0.072,59,640,1,2024-12-01,0
L000021,Retail,NE,62407.48,0.193,25,655,1,2022-02-01,0
L000022,SME,MW,9210.71,0.194,16,732,1,2022-04-01,0
L000023,Retail,W,20012.03,0.144,39,622,1,2022-01-01,0
L000024,SME,S,45912.7,0.22,44,584,1,2023-09-01,0
L000025,SME,MW,22969.73,0.198,18,787,1,2023-11-01,0
L000026,Corporate,S,37933.84,0.111,17,755,1,2023-09-01,0
L000027,Retail,S,33233.41,0.058,10,773,1,2022-01-01,0
L000028,Retail,W,23780.69,0.227,54,756,1,2022-10-01,0
L000029,SME,W,21945.59,0.181,9,571,0,2024-02-01,0
L000030,Retail,NE,54472.75,0.075,54,799,1,2024-11-01,0
L000031,SME,S,24836.57,0.147,51,586,0,2024-02-01,0
L000032,Corporate,NE,21886.12,0.2,43,666,1,2022-08-01,0
L000033,Retail,NE,15634.0,0.214,39,582,1,2022-04-01,0
L000034,Retail,W,37308.78,0.173,25,581,1,2024-06-01,0
L000035,SME,MW,27893.51,0.067,36,810,1,2023-01-01,0
L000036,SME,MW,45411.25,0.187,33,561,1,2022-11-01,0
L000037,SME,MW,35840.57,0.095,27,575,0,2024-02-01,0
L000038,Retail,W,14452.76,0.207,8,632,0,2024-05-01,0
L000039,Retail,MW,45464.02,0.17,54,705,1,2023-11-01,0
L000040,Retail,MW,13593.02,0.07,8,717,0,2024-05-01,0
L000041,Retail,S,9055.22,0.109,21,612,0,2024-03-01,0
L000042,Retail,MW,9941.55,0.152,53,757,1,2022-05-01,0
